Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price,Remarks
24-NOV-2025,FORTIS,Fortis Healthcare Limited,BNP PARIBAS FINANCIAL MARKETS,SELL,11938263,921.85,-
24-NOV-2025,FORTIS,Fortis Healthcare Limited,INTEGRATED CORE STRATEGIES (ASIA) PTE. LTD.,SELL,5281102,921.93,-
24-NOV-2025,GVT&D,GE VERNOVA T&D INDIA LTD,BNP PARIBAS FINANCIAL MARKETS,SELL,3830980,2866.23,-
24-NOV-2025,GVT&D,GE VERNOVA T&D INDIA LTD,INTEGRATED CORE STRATEGIES (ASIA) PTE. LTD.,SELL,1418089,2869.13,-
24-NOV-2025,KTKBANK,Karnataka Bank Limited,HRTI PRIVATE LIMITED,SELL,2481885,199.22,-
24-NOV-2025,KTKBANK,Karnataka Bank Limited,GRAVITON RESEARCH CAPITAL LLP,SELL,2327837,199.39,-
24-NOV-2025,MCLOUD,Magellanic Cloud Limited,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,4605223,55.36,-
24-NOV-2025,MCLOUD,Magellanic Cloud Limited,MICROCURVES TRADING PRIVATE LIMITED,SELL,3620136,55.83,-
24-NOV-2025,MCLOUD,Magellanic Cloud Limited,MATHISYS ADVISORS LLP,SELL,5001096,55.81,-
24-NOV-2025,MCLOUD,Magellanic Cloud Limited,PRAMODBHAI HIRABHAI PARMAR,SELL,4500000,55.75,-
24-NOV-2025,MCLOUD,Magellanic Cloud Limited,QE SECURITIES LLP,SELL,3977196,55.97,-
24-NOV-2025,MCLOUD,Magellanic Cloud Limited,HRTI PRIVATE LIMITED,SELL,4087164,55.80,-
24-NOV-2025,MOKSH,Moksh Ornaments Limited,SHRENI SHARES PVT,SELL,449839,14.37,-
24-NOV-2025,NEELAM,Neelam Linens & Gar (I) L,HI GROWTH CORPORATE SERVICES PVT LTD,SELL,18000,16.78,-
24-NOV-2025,NIRMAN,Nirman Agri Gentics Ltd,BONANZA PORTFOLIO LTD,SELL,111900,61.53,-
24-NOV-2025,ORIENTELEC,Orient Electric Limited,ISHARES CORE MSCI EMERGING MARKETS ETF,SELL,1263276,164.45,-
24-NOV-2025,PAYTM,One 97 Communications Ltd,INTEGRATED CORE STRATEGIES (ASIA) PTE. LTD.,SELL,3255236,1259.85,-
24-NOV-2025,PAYTM,One 97 Communications Ltd,YOKE SECURITIES LTD,SELL,4207091,1260.96,-
24-NOV-2025,PAYTM,One 97 Communications Ltd,GRAVITON RESEARCH CAPITAL LLP,SELL,3247138,1261.89,-
24-NOV-2025,PAYTM,One 97 Communications Ltd,BNP PARIBAS FINANCIAL MARKETS,SELL,10560740,1260.06,-
24-NOV-2025,PRAMARA,Pramara Promotions Ltd,SHAH JAYSHREE RAJESH,SELL,30000,343.23,-
24-NOV-2025,RAIN,Rain Industries Limited,ISHARES CORE MSCI EMERGING MARKETS ETF,SELL,1783608,106.13,-
24-NOV-2025,REXPRO,Rexpro Enterprises Ltd,M7 GLOBAL FUND PCC - CELL DEWCAP FUND,SELL,162000,65.00,-
24-NOV-2025,SABTNL,Sri Adhikari Bro Tele N L,LEADING LEASING FINANCE & INVESTMENT COMPANY LTD,SELL,160000,1314.30,-
24-NOV-2025,SHYAMCENT,Shyam Century Ferrous Ltd,KALPATARU HOUSE FIN & TRADING PVT. LTD.,SELL,3430110,5.84,-
24-NOV-2025,TATAELXSI,Tata Elxsi Limited,GRAVITON RESEARCH CAPITAL LLP,SELL,386299,5258.22,-
24-NOV-2025,TEAMLEASE,Teamlease Services Ltd.,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,169512,1787.22,-
24-NOV-2025,TEAMLEASE,Teamlease Services Ltd.,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,SELL,116553,1770.20,-
24-NOV-2025,VCL,Vaxtex Cotfab Limited,NIKUNJ SHAH,SELL,4142612,1.43,-
24-NOV-2025,VCL,Vaxtex Cotfab Limited,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,SELL,1917886,1.52,-
24-NOV-2025,VCL,Vaxtex Cotfab Limited,NEO APEX SHARE BROKING SERVICES LLP,SELL,2000000,1.37,-
24-NOV-2025,VCL,Vaxtex Cotfab Limited,NEO APEX VENTURE LLP,SELL,2421345,1.51,-
